epoch,train_loss,validation_loss,mean_validation_dice,minimum_validation_dice,class_0_dice,class_1_dice,class_2_dice,class_3_dice,learning_rate
16,0.03528779074673029,0.05844524534685271,0.9751808853955246,0.9580415884868276,0.9994129358640585,0.9580415884868276,0.9646897509269242,0.9785792663042878,0.0005
17,0.03131669260783503,0.05862594217594181,0.9764403251410485,0.9613062938508564,0.9994300214603113,0.9613062938508564,0.9657531287648684,0.9792718564881576,0.0005
18,0.030505024755546294,0.05846561041793653,0.9765587271946736,0.9609580406892835,0.9994180546995404,0.9609580406892835,0.9659349912945377,0.979923822095333,0.0005
19,0.029891625102239333,0.06171689424663782,0.9754638744197854,0.9580502198523062,0.99942556276974,0.9580502198523062,0.965224992580307,0.9791547224767887,0.0005
20,0.029148627795735436,0.06079784299113921,0.976425712386553,0.9620455431226872,0.9994184696219751,0.9620455431226872,0.965865400870343,0.9783734359312067,0.0005
21,0.028710834358183557,0.06447256923254047,0.9750318328019862,0.9597087327395385,0.9994210330646939,0.9597087327395385,0.9630038721288104,0.9779936932749018,0.0005
22,0.02832273605575674,0.06098020688763687,0.9761961348964463,0.9608827731453686,0.9994359120355357,0.9608827731453686,0.9651336974627249,0.9793321569421556,0.0005
23,0.02758814567169606,0.06124135162681341,0.9768087581467435,0.9614295853925106,0.999414223786571,0.9614295853925106,0.9666311692909936,0.979760054116899,0.0005
24,0.027081806793969296,0.06026426074760301,0.9769824572972443,0.9623010931028718,0.9994434969328415,0.9623010931028718,0.9667123515266226,0.9794728876266412,0.0005
25,0.026698295326151002,0.061183550128979344,0.9768815485704752,0.9619107444056877,0.9994417399102987,0.9619107444056877,0.9664539995188505,0.9797197104470636,0.0005
26,0.026120401539574595,0.0628286290381636,0.9767437794606514,0.961881274927159,0.9994297591453437,0.961881274927159,0.9665739510615173,0.9790901327085856,0.0005
27,0.025771712134931457,0.06325211993285589,0.9763202563174634,0.9602275104383748,0.9994312977263295,0.9602275104383748,0.9656729115307493,0.9799493055743999,0.0005
28,0.025330319208099156,0.06624319143593312,0.9754816106183565,0.9576048334338219,0.9994363845212445,0.9576048334338219,0.9652046196575305,0.979680604860829,0.00025
29,0.023309739775314236,0.06359646932354995,0.977090599079625,0.9621939690426373,0.999453106755967,0.9621939690426373,0.9667479056006798,0.979967414919216,0.00025
30,0.02288378575132136,0.0673535338469914,0.9759256093970186,0.9598516673790236,0.9994460668583472,0.9598516673790236,0.964867910716349,0.979536792634354,0.00025
31,0.022516939704250914,0.06550876037882906,0.9771099845832205,0.9620555345982115,0.9994448919230394,0.9620555345982115,0.966946986512678,0.9799925252989534,0.00025
32,0.022283031674570693,0.06831389436764376,0.9766716136250189,0.9619938642663809,0.9994397061511385,0.9619938642663809,0.9663332577227559,0.9789196263598005,0.000125
33,0.021261282169586972,0.06807528329747063,0.9769227159654683,0.9620153864100633,0.9994472757053183,0.9620153864100633,0.9666406210996977,0.9795875806467937,0.000125
34,0.020995403470360482,0.06805439591407776,0.977108051481208,0.9620566126559097,0.9994473041875976,0.9620566126559097,0.96693184235931,0.9799964467220147,0.000125
35,0.020744066612967692,0.07025989621345485,0.976736446649648,0.9616022402796924,0.9994393527501135,0.9616022402796924,0.9663722365618748,0.9795319570069109,0.000125
36,0.020606245959658695,0.06928497717848846,0.9769689748923309,0.9618468798735613,0.9994409946055947,0.9618468798735613,0.9666411498201603,0.9799468752700075,6.25e-05
37,0.020053717659305262,0.07068685782807214,0.9769096507873942,0.9616914314678062,0.9994431135568357,0.9616914314678062,0.9667754673959986,0.9797285907289366,6.25e-05
38,0.019894521812976195,0.0711090904793569,0.9769369973437354,0.9617667495325074,0.9994418066961234,0.9617667495325074,0.9668062902057186,0.9797331429405922,6.25e-05
39,0.019788904017645447,0.07079373430460692,0.9769497578956433,0.9617321491352595,0.9994404691857754,0.9617321491352595,0.9667610839921772,0.979865329269361,6.25e-05
40,0.01966838327248809,0.07113444948835032,0.9769393083579296,0.9616412761964177,0.9994422763991292,0.9616412761964177,0.9667640542495515,0.9799096265866201,3.125e-05
41,0.01940670769680168,0.07188365903816053,0.9769031120965581,0.9616237130599453,0.9994403002784529,0.9616237130599453,0.9667402280472457,0.9798082070005887,3.125e-05
42,0.01931376665034979,0.07253510755087648,0.9768111012457084,0.9615994883570276,0.9994380982013251,0.9615994883570276,0.9665983983592895,0.9796084200651913,3.125e-05
43,0.01926646227424113,0.07229795668806349,0.9768594850951824,0.9614605260255705,0.9994419991984282,0.9614605260255705,0.9667043912375343,0.9798310239191967,3.125e-05
44,0.019188195865582798,0.07238097025879792,0.9768699265645425,0.9615572644983327,0.9994388122105482,0.9615572644983327,0.9666568627160427,0.9798267668332468,1.5625e-05
45,0.019046467839931417,0.07261039255453007,0.9768771894338915,0.9615554042318407,0.9994399813287518,0.9615554042318407,0.9666762337983955,0.9798371383765778,1.5625e-05
46,0.019018607006704324,0.07314325842474188,0.9768223191622654,0.9615040253305568,0.999439555180164,0.9615040253305568,0.9665838749919705,0.9797618211463702,1.5625e-05
47,0.018987534030352946,0.07300412090761321,0.9768209192381274,0.9614885059215424,0.999438527277145,0.9614885059215424,0.9666179482059708,0.9797386955478514,1.5625e-05
48,0.018942781942218097,0.0730839087494782,0.9768592367289064,0.9614754303915879,0.9994414365368074,0.9614754303915879,0.9666891218212178,0.9798309581660126,7.8125e-06
49,0.018869481404120755,0.0731655609660915,0.9768401777368826,0.961507323839492,0.9994387862852249,0.961507323839492,0.9666364228635276,0.9797781779592859,7.8125e-06
50,0.018861911563350764,0.07330646608024835,0.9768309639491205,0.9614997502325381,0.9994398540572046,0.9614997502325381,0.9666343889347173,0.979749862572022,7.8125e-06
