epoch,train_loss,validation_loss,mean_validation_dice,minimum_validation_dice,class_0_dice,class_1_dice,class_2_dice,class_3_dice,learning_rate
1,0.14302726686370887,0.08942473525447504,0.9610713063839035,0.923876060344927,0.9972801305103406,0.923876060344927,0.9496949763563097,0.9734340583240367,0.001
2,0.07942355890443784,0.0824564803391695,0.9630945422569748,0.9361704107040337,0.9984158106393716,0.9361704107040337,0.94867199839182,0.969119949292674,0.001
3,0.06985096153895685,0.07282569650560618,0.9682232226596772,0.9417502627165691,0.9982034013229871,0.9417502627165691,0.9575935380696171,0.9753456885295356,0.001
4,0.06379872661651365,0.07985291036644153,0.9638581560150015,0.9359909688464708,0.9990122901206103,0.9359909688464708,0.9491814305954562,0.9712479344974686,0.001
5,0.06001584975061235,0.06201401368847915,0.9725808653800925,0.9534141820193373,0.9989504570500907,0.9534141820193373,0.9614499407566602,0.9765088816942817,0.001
6,0.056428855494750255,0.06585032647209509,0.9710915321776548,0.9550131483690392,0.9991249728802317,0.9550131483690392,0.9582722549895936,0.9719557524717546,0.001
7,0.052771756860322705,0.11955339778214694,0.951201719737427,0.9261613120188026,0.9991302394339092,0.9353181083473375,0.9261613120188026,0.9441972191496583,0.001
8,0.04916079093190218,0.059017883108130526,0.9737917795110866,0.9568881860525422,0.999296823542594,0.9568881860525422,0.9621074927531634,0.9768746156960467,0.001
9,0.04583073972989589,0.05982880084110158,0.9739198206726869,0.9555655280029993,0.9990519709959809,0.9555655280029993,0.9632119553121052,0.9778498283796624,0.001
10,0.04356892268475614,0.06564750990697316,0.9716576266784895,0.954758483188986,0.9993186797035196,0.954758483188986,0.9584034305058705,0.9741499133155822,0.001
11,0.0413841946476096,0.05661918845559869,0.975436391526245,0.9583458536769462,0.9993433712234301,0.9583458536769462,0.9651249557558533,0.9789313854487501,0.001
12,0.04023957588333661,0.057380407117307186,0.975168754296953,0.9597688569573375,0.9993892694953885,0.9597688569573375,0.9639350362172595,0.9775818545178266,0.001
13,0.03887458510746229,0.07839201076754503,0.9665385203295446,0.9382165609925017,0.9992937437267215,0.9382165609925017,0.9522202012779062,0.9764235753210488,0.001
14,0.03749428359199537,0.06251324950052159,0.9738921279098309,0.9582963150661273,0.9993442710101419,0.9582963150661273,0.9620997199547624,0.9758282056082922,0.001
15,0.03794815981088342,0.05970263584916081,0.9745665258283092,0.9580231276487782,0.9993858951977642,0.9580231276487782,0.9637448550823436,0.9771122253843504,0.001
