epoch,loss_d,loss_d_real,loss_d_fake,loss_g,d_real_pre_d,d_fake_pre_d,d_fake_post_d,sample_pixel_std,mean_pairwise_rmse,mean_nearest_rmse,near_duplicate_rate,seconds
1,0.7645289069764387,0.46325411680821116,0.30127479070612534,10.480967352721866,0.9097136284072131,0.11473029561106808,0.007674459152208959,0.05467677861452103,0.08326262980699539,0.07358463108539581,0.0,12.260801315307617
2,0.7333339330623087,0.4349151905024708,0.2984187413525108,7.264079535244316,0.8192251897016108,0.18016565035149928,0.01571334569190633,0.0422731451690197,0.07392323762178421,0.053787749260663986,0.0,11.937138080596924
3,0.5018990479459037,0.2879068965527124,0.21399215179563358,7.650372208348963,0.8607526689965204,0.13852602080034246,0.008891443874831782,0.053816989064216614,0.10534889250993729,0.04736243933439255,0.0,11.923930883407593
4,0.3970736228423008,0.23276520984259663,0.1643084120868847,6.448711861048313,0.8766785848219663,0.12232818256343186,0.010516648329718388,0.05629327893257141,0.12257376313209534,0.049254752695560455,0.0,11.829684257507324
5,0.9156179282049469,0.5105348684337755,0.40508306158447505,4.453812780364459,0.7363610513360295,0.26461317635639353,0.0493122260636573,0.078211210668087,0.1596778929233551,0.05862957239151001,0.0,11.91748332977295
6,0.8571168072768395,0.46274451150355356,0.3943722969204779,4.214016182533163,0.7373248599222954,0.2603598763739894,0.056476679010145574,0.07770504057407379,0.16053563356399536,0.05987900123000145,0.0,11.897874593734741
7,0.823773853826207,0.4411635327812852,0.382610323030921,3.5609360230679545,0.7382522395115025,0.26242396318729944,0.08051525493112349,0.09429007768630981,0.19149819016456604,0.07145389169454575,0.0,11.782622814178467
8,0.857224108762299,0.45886116437860675,0.3983629427307489,3.3831445641865003,0.726807994163589,0.27203166175831034,0.09076078604777275,0.0829557403922081,0.18463096022605896,0.06856432557106018,0.0,11.842444658279419
9,0.8923437701945274,0.4679876474404572,0.4243561230747905,3.251642344408477,0.7121500460714694,0.2869883289264626,0.10070527758023745,0.08563289046287537,0.18489554524421692,0.07529256492853165,0.0,11.818134784698486
10,0.8994469174880855,0.46184796881892826,0.4375989494709582,3.13220080476723,0.7107488382731052,0.29191749632691605,0.10759308938143639,0.07648125290870667,0.17078757286071777,0.0777118131518364,0.0,11.822301387786865
11,0.9142316086402792,0.472777636931432,0.4414539739785605,2.9373164512463754,0.7011446513679643,0.2971030936533252,0.12556006867956643,0.09168574213981628,0.19750133156776428,0.09611283987760544,0.0,11.834111452102661
12,0.9289305596951617,0.4711867674741129,0.45774379194967,2.933881683065402,0.6972407561461658,0.30476644810363157,0.120396437878961,0.09091465175151825,0.19547517597675323,0.10128885507583618,0.0,11.80193543434143
13,0.9580915333419446,0.4888179594811225,0.46927357208452475,2.781008051720676,0.6853295455113152,0.3128936913801937,0.13663407876649686,0.09256131947040558,0.1982802450656891,0.1048690527677536,0.0,11.729504585266113
14,1.0164898795797335,0.5149903708933204,0.501499508871444,2.785591245487036,0.6689306549875942,0.33252349426809524,0.13252168003815096,0.08848999440670013,0.19023184478282928,0.10464797168970108,0.0,11.77527666091919
15,0.9715228818899748,0.49374522495743456,0.4777776578083536,2.7733089951489935,0.6771955028274991,0.32413865142310694,0.1286299631696515,0.090215303003788,0.19444358348846436,0.10687416791915894,0.0,11.896512031555176
16,0.9672616293888219,0.49287165094487717,0.47438997444727565,2.7442419884220652,0.673962404791093,0.3231855638275873,0.12634058829261274,0.08675186336040497,0.18788354098796844,0.10230568051338196,0.0,11.765330791473389
17,0.9456755412335427,0.4768019959034509,0.4688735452314086,2.8123513314108184,0.680022795370083,0.31973875402812135,0.12098011705987402,0.08622780442237854,0.1872246414422989,0.10475016385316849,0.0,11.821929454803467
18,0.916741086157742,0.4634124109188452,0.45332867379565506,2.873592185263602,0.6878468048888327,0.31261152121552965,0.11864581084902713,0.08875112235546112,0.19235530495643616,0.10810820758342743,0.0,11.808500051498413
19,0.8814738049412405,0.4470890768563116,0.4343847293924812,2.8506401019380583,0.6946906232281237,0.30471696251916963,0.11383679606689646,0.09423787891864777,0.1976282298564911,0.11036915332078934,0.0,11.768995523452759
20,0.8536812694656928,0.43386697601403623,0.4198142899484034,2.965748287194612,0.7041918651157657,0.2938447188931388,0.10603751698724728,0.09317345917224884,0.19969278573989868,0.11321979761123657,0.0,11.748436450958252
21,0.8159985717953435,0.4105803354686459,0.40541823770826224,3.0585644272779,0.7175930503583112,0.2832223525184472,0.10421308378275755,0.08980144560337067,0.1936814785003662,0.10992462188005447,0.0,11.779976844787598
22,0.7942567700581835,0.40460089219129636,0.38965587874270036,3.1332712982664046,0.7204611885626584,0.2765621172745299,0.09643501299279218,0.08938658237457275,0.1915341466665268,0.10801046341657639,0.0,11.83229947090149
23,0.7675369762821703,0.38596596418331003,0.3815710103719045,3.1491255736508905,0.7292348708932763,0.2719918734437188,0.09296134063998694,0.09052129834890366,0.19181716442108154,0.10895009338855743,0.0,11.885051250457764
24,0.7340476128044507,0.3717610583400095,0.3622865534406032,3.1997644167072727,0.739091889352988,0.26271325617485886,0.08965900788447567,0.09256191551685333,0.19883492588996887,0.11540908366441727,0.0,11.79526162147522
25,0.7198956529825729,0.3677684377681538,0.35212721375884204,3.2043672271122206,0.7438117830169122,0.25403040593230963,0.09163788575617386,0.08864074945449829,0.19024839997291565,0.11164713650941849,0.0,11.779969453811646
26,0.7058227147092883,0.36143487229301835,0.3443878410100345,3.323843763364072,0.7490072058920829,0.24937091033214961,0.08694780628321791,0.09514833986759186,0.20362162590026855,0.11895385384559631,0.0,11.819749116897583
27,0.6564309042415871,0.3319867425135627,0.3244441624311422,3.354631986839092,0.7631309764669431,0.23707524813489605,0.08288562629836001,0.08763233572244644,0.18920688331127167,0.11461497098207474,0.0,11.789591550827026
28,0.6355034290560034,0.3197453387377673,0.31575808864062194,3.3997395559651964,0.7702306745857592,0.23029003672252427,0.08028230717211395,0.08794727176427841,0.18844564259052277,0.1121121197938919,0.0,11.768385887145996
29,0.6394200261854968,0.32450198167503275,0.31491804592903483,3.4841367669452894,0.7716893115580477,0.2264294842048394,0.08170195404726963,0.08986371755599976,0.19133205711841583,0.11333814263343811,0.0,11.84705662727356
30,0.551702988068789,0.27726742070143584,0.2744355694643709,3.4113486421029298,0.7930051542275789,0.20799126970082127,0.07161092502219195,0.09231887757778168,0.1957242488861084,0.11581958830356598,0.0,11.876848697662354
31,0.5381218218645513,0.273863831140249,0.2642579906132837,3.654417050595315,0.7991643273672521,0.19989092143511536,0.06655553732312512,0.08979100733995438,0.19171161949634552,0.1124812513589859,0.0,11.745383739471436
